device_brand,os,screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
Honor,Android,14.5,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,4.307572449,4.715100245
Honor,Android,17.3,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,5.162096647,5.519017936
Honor,Android,16.69,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,5.111083765,5.884630724
Honor,Android,25.5,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,5.135386588,5.630960854
Honor,Android,15.32,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,4.389994804,4.947837479
Honor,Android,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,4.413888608,5.060694494
Honor,Android,13.84,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,3.878259375,4.518958489
Honor,Android,15.77,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,4.729421148,5.18872569
Honor,Android,15.32,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,4.886054204,5.299916088
Honor,Android,16.23,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,4.773223771,5.073610093
Honor,Android,15.47,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,4.26703657,4.713665782
Honor,Android,15.32,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,4.657383057,4.770176021
Honor,Android,16.69,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,5.383255763,6.213967894
Honor,Android,15.32,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,4.617592706,5.398750764
Honor,Android,14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,4.111365547,4.487512143
Honor,Android,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,4.411221293,4.866225902
Honor,Android,15.9,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,5.022366217,5.517934708
Honor,Android,16.74,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,4.777020443,5.193179048
Honor,Android,14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,4.248638089,4.792313433
Honor,Android,25.43,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,4.267877613,5.517051209
Honor,Android,20.32,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,4.556295018,5.304001183
Others,Android,20.32,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,4.45213555,5.48438191
HTC,Android,15.29,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,4.560800238,5.195730778
